2021-05-17 15:45,220,60,1750,772
2021-05-17 15:46,220,60,1750,772
2021-05-17 15:47,220,60,1750,772
2021-05-17 15:48,220,60,1750,772
2021-05-17 15:49,220,60,1750,772
2021-05-17 15:50,220,60,1750,772
2021-05-17 15:51,220,60,1750,772
2021-05-17 15:52,220,60,1750,772
2021-05-17 15:53,220,60,1750,772
2021-05-17 15:54,220,60,1750,772
2021-05-17 15:55,220,60,1750,772
2021-05-17 15:56,220,60,1750,772
2021-05-17 15:57,220,60,1750,772
2021-05-17 15:58,220,60,1750,772
2021-05-17 15:59,220,60,1750,772
2021-05-17 16:00,220,60,1750,772
2021-05-17 16:01,220,60,1750,772
2021-05-17 16:02,220,60,1750,772
2021-05-17 16:03,220,60,1750,772
2021-05-17 16:04,220,60,1750,772
2021-05-17 16:05,220,60,1750,772
2021-05-17 16:06,220,60,1750,772
2021-05-17 16:07,220,60,1750,772
2021-05-17 16:08,220,60,1750,772
2021-05-17 16:09,220,60,1750,772
2021-05-17 16:10,220,60,1750,772
2021-05-17 16:11,220,60,1750,772
2021-05-17 16:12,220,60,1750,772
2021-05-17 16:13,220,60,1750,772
2021-05-17 16:14,220,60,1750,772
2021-05-17 16:15,220,60,1750,772
2021-05-17 16:16,220,60,1750,772
2021-05-17 16:17,220,60,1750,772
2021-05-17 16:18,220,60,1750,772
2021-05-17 16:19,220,60,1750,772
2021-05-17 16:20,220,60,1750,772
2021-05-17 16:21,220,60,1750,772
2021-05-17 16:22,220,60,1750,772
2021-05-17 16:23,220,60,1750,772
2021-05-17 16:24,220,60,1750,772
2021-05-17 16:25,220,60,1750,772
2021-05-17 16:26,220,60,1750,772
2021-05-17 16:27,220,60,1750,772
2021-05-17 16:28,220,60,1750,772
2021-05-17 16:29,220,60,1750,772
2021-05-17 16:30,220,60,1750,772
2021-05-17 16:31,220,60,1750,772
2021-05-17 16:32,220,60,1750,772
2021-05-17 16:33,220,60,1750,772
